"TRIP_ID","LATITUDE","LONGITUDE"
"T87",41.276556,-8.677071
"T88",41.182866,-8.603946
"T90",41.143716,-8.62164
"T91",41.146956,-8.619948
"T92",41.236749,-8.669934
"T93",41.163318,-8.66133
"T94",41.154894,-8.653401
"T95",41.149098,-8.587071
"T96",41.179968,-8.572716
"T98",41.237442,-8.670276
"T99",41.153589,-8.608419
"T100",41.177619,-8.663427
"T101",41.147541,-8.619849
"T102",41.143986,-8.604756
"T103",41.155146,-8.673309
"T104",41.180535,-8.53092
"T107",41.148954,-8.585676
"T109",41.176026,-8.585793
"T110",41.157522,-8.627553
"T111",41.149962,-8.672814
"T112",41.148846,-8.585829
"T113",41.310252,-8.641233
"T114",41.179113,-8.623386
"T115",41.127525,-8.622
"T116",41.259969,-8.610327
"T117",41.181903,-8.482743
"T118",41.183073,-8.601093
"T119",41.179635,-8.602065
"T120",41.23494,-8.639136
"T121",41.125185,-8.605359
"T122",41.156388,-8.62074
"T123",41.159727,-8.675532
"T124",41.160942,-8.629191
"T125",41.151753,-8.599842
"T126",41.157072,-8.629785
"T127",41.156289,-8.652015
"T128",41.154687,-8.612136
"T129",41.152275,-8.606898
"T130",41.147073,-8.620398
"T131",41.169555,-8.546958
"T132",41.151708,-8.609688
"T133",41.142249,-8.617698
"T134",41.176377,-8.668665
"T135",41.163309,-8.608815
"T136",41.149467,-8.604864
"T137",41.146272,-8.611254
"T138",41.069718,-8.577693
"T139",41.155263,-8.607924
"T140",41.147784,-8.620074
"T141",41.132952,-8.598753
"T142",41.15862,-8.62902
"T143",41.164398,-8.63226
"T144",41.156901,-8.631036
"T145",41.180166,-8.531055
"T146",41.146164,-8.604396
"T147",41.147649,-8.622099
"T148",41.154705,-8.5995
"T149",41.151249,-8.582409
"T151",41.158557,-8.639874
"T152",41.052456,-8.524116
"T153",41.164947,-8.590023
"T154",41.160609,-8.609886
"T155",41.189202,-8.636184
"T156",41.146866,-8.620047
"T157",41.179635,-8.602065
"T158",41.161149,-8.54928
"T159",41.183676,-8.624538
"T160",41.155569,-8.679357
"T161",41.148765,-8.585658
"T162",41.161149,-8.624187
"T163",41.161104,-8.640765
"T164",41.153571,-8.678799
"T166",41.15349,-8.645904
"T167",41.161698,-8.603001
"T168",41.167287,-8.606547
"T169",41.18949,-8.576415
"T170",41.159502,-8.570259
"T171",41.165361,-8.64747
"T172",41.181795,-8.65809
"T173",41.193657,-8.668062
"T174",41.148792,-8.585739
"T175",41.161743,-8.64666
"T176",41.175531,-8.656425
"T177",41.186709,-8.654094
"T178",41.180868,-8.654256
"T179",41.148792,-8.58582
"T180",41.143005,-8.616762
"T181",41.248413,-8.51319
"T182",41.163318,-8.633844
"T183",41.237487,-8.670231
"T184",41.154336,-8.649873
"T185",41.150853,-8.62605
"T186",41.171004,-8.627193
"T187",41.151114,-8.571177
"T188",41.148783,-8.585937
"T189",41.147604,-8.61138
"T190",41.154246,-8.642403
"T191",41.152581,-8.619543
"T192",41.186133,-8.653968
"T193",41.161203,-8.640666
"T194",41.162301,-8.643897
"T195",41.166252,-8.611425
"T196",41.237586,-8.670222
"T197",41.157441,-8.649684
"T198",41.15547,-8.629614
"T199",41.150862,-8.599014
"T200",41.146713,-8.609409
"T201",41.144337,-8.61759
"T202",41.151015,-8.60679
"T203",41.157261,-8.624862
"T204",41.179581,-8.624268
"T205",41.157378,-8.601012
"T206",41.159304,-8.580321
"T207",41.149665,-8.604936
"T208",41.193117,-8.613261
"T209",41.141493,-8.615268
"T210",41.148567,-8.636787
"T211",41.237442,-8.670213
"T212",41.204916,-8.562492
"T213",41.11011,-8.614062
"T214",41.190678,-8.69931
"T215",41.153445,-8.675739
"T216",41.182785,-8.600166
"T217",41.170266,-8.648532
"T218",41.145615,-8.613225
"T219",41.152923,-8.637849
"T220",41.194125,-8.611335
"T221",41.157153,-8.628408
"T222",41.136273,-8.599302
"T223",41.165226,-8.657658
"T224",41.188356,-8.589807
"T225",41.134275,-8.626068
"T226",41.154615,-8.660979
"T227",41.166243,-8.649306
"T228",41.237055,-8.670042
"T229",41.140413,-8.613126
"T230",41.144463,-8.606043
"T231",41.153616,-8.608086
"T232",41.178546,-8.634546
"T233",41.146245,-8.617617
"T234",41.147001,-8.590023
"T235",41.140746,-8.617131
"T236",41.122953,-8.663724
"T237",41.15376,-8.596962
"T238",41.123088,-8.585586
"T239",41.175405,-8.65629
"T240",41.173839,-8.68878
"T241",41.133609,-8.564121
"T242",41.156487,-8.596395
"T243",41.160429,-8.644014
"T244",40.978548,-8.634276
"T245",41.170563,-8.61282
"T246",41.163714,-8.675037
"T247",41.184855,-8.695305
"T248",41.15295,-8.668548
"T249",41.174289,-8.648604
"T250",41.166072,-8.579484
"T251",41.174397,-8.64873
"T252",41.162337,-8.644257
"T253",41.176026,-8.557317
"T254",41.135841,-8.660781
"T255",41.137866,-8.623485
"T256",41.2371,-8.669844
"T257",41.151564,-8.664678
"T258",41.149476,-8.588772
"T259",41.162256,-8.621019
"T260",41.154948,-8.630622
"T261",41.091507,-8.650053
"T262",41.184441,-8.609562
"T263",41.15358,-8.610039
"T264",41.155065,-8.602821
"T265",41.160249,-8.674308
"T266",41.178582,-8.576883
"T267",41.155533,-8.602578
"T268",41.154417,-8.645841
"T269",41.127849,-8.626932
"T270",41.165406,-8.659107
"T271",41.237505,-8.670276
"T272",41.116302,-8.586954
"T273",41.174226,-8.648532
"T274",41.1858,-8.694495
"T275",41.157837,-8.67996
"T276",41.182074,-8.685306
"T277",41.154075,-8.650152
"T278",41.157603,-8.680941
"T279",41.167224,-8.649486
"T280",41.166432,-8.612334
"T281",41.148315,-8.612973
"T282",41.126121,-8.602047
"T283",41.154444,-8.602596
"T284",41.163921,-8.601714
"T285",41.173578,-8.589834
"T286",41.124753,-8.599878
"T287",41.157738,-8.677836
"T288",41.15331,-8.599482
"T289",41.14854,-8.610975
"T290",41.146767,-8.605683
"T291",41.164821,-8.62794
"T292",41.176899,-8.595504
"T293",41.173443,-8.590041
"T294",41.150205,-8.600238
"T295",41.126445,-8.60427
"T296",41.186592,-8.689806
"T297",41.19039,-8.609328
"T298",41.151204,-8.609751
"T299",41.236668,-8.669304
"T300",41.206986,-8.636922
"T301",41.236785,-8.669925
"T302",41.146803,-8.605431
"T303",41.163561,-8.627769
"T304",41.15592,-8.629587
"T305",41.160924,-8.629191
"T306",41.153418,-8.654481
"T307",41.235147,-8.669376
"T308",41.173434,-8.5554
"T309",41.155524,-8.589123
"T310",41.163372,-8.676189
"T311",41.158647,-8.594379
"T312",41.175999,-8.643816
"T313",41.169366,-8.666622
"T314",41.161644,-8.611398
"T315",41.149926,-8.618004
"T316",41.148864,-8.586036
"T317",41.140593,-8.636094
"T318",41.140476,-8.613072
"T319",41.173245,-8.684883
"T320",41.14899,-8.585829
"T321",41.143329,-8.534961
"T322",41.19813,-8.598312
"T323",41.149737,-8.60562
"T324",41.148981,-8.586252
"T325",41.153787,-8.674011
"T326",41.195808,-8.612667
"T327",41.144265,-8.617554
